# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1003.0,35.73596596384892,112.26784814096266,5097.566318080001,80.563161668901,253.0966368489862,273784.039600949,0.9159597294907847,0.946042866913931,0.00011517970499901224,1,1,2,1,2,1,0,2,1,4,4,5
1071.5,36.93610933,116.0382097,5445.705194,83.26876487,261.59654,302304.7636,0.6876244344086178,0.7278654564344851,0.0001271782443636771,1,1,2,1,2,1,0,2,1,4,4,5
1083.5,37.142361889364935,116.6861712486024,5506.693026559999,83.73374064338431,263.05730446284923,307397.3371258053,0.8238244364915055,0.8777585501508554,0.00012932066697254419,1,1,2,1,2,1,0,2,1,4,4,5
1092.0,37.28776720119881,117.14297550805264,5549.89274112,84.0615423783826,264.08712398535386,311021.6959020913,0.6623755313307473,0.6001992798780451,0.0001308454182884779,1,1,2,1,2,1,0,2,1,4,4,5
1191.0,38.94134432424719,122.33784124996556,6053.04235776,87.78936664458287,275.7984293139224,354261.836573722,0.5319834316930644,0.6438814699665145,0.00014903634955654353,1,1,2,1,2,1,0,2,1,4,4,5
1276.0,40.306992682189374,126.62815209866368,6485.039503360001,90.86808430272772,285.47050609122743,392855.410865224,0.7432645839845877,0.6687410904349791,0.0001652724914011584,1,1,2,1,2,1,0,2,1,4,4,5
1296.5,40.62948522623857,127.64129230588613,6589.227050240001,91.59511149403224,287.7545293743897,402360.6575508173,0.5696593126773293,0.6465149056750091,0.0001692713056154026,1,1,2,1,2,1,0,2,1,4,4,5
1300.5,40.69211260094613,127.838042006181,6609.556327679999,91.73629864757297,288.1980818987345,404224.1554693386,0.5920514304272679,0.6577002196422724,0.00017005527074658556,1,1,2,1,2,1,0,2,1,4,4,5
1353.0,41.50533825939352,130.39286576047004,6876.378094080001,93.56963457197676,293.9576765704037,428946.79029454105,0.5100995999564099,0.7718325042689061,0.0001804559712042,1,1,2,1,2,1,0,2,1,4,4,5
1427.5,42.632727453324456,133.93466336986,7255.0108864,96.11122077077464,301.9423051010124,464858.6353314426,0.8921549449352968,0.8993365897405218,0.0001955639217017871,1,1,2,1,2,1,0,2,1,4,4,5
1437.0,42.77435242974964,134.37959135536218,7303.292920320001,96.4305001176276,302.9453507515285,469506.79254132434,0.6920842529556127,0.6587794277859925,0.00019751938038010722,1,1,2,1,2,1,0,2,1,4,4,5
