Type,k,Mean Silhouette,Mean RMSSTD,Counted Files
Volume Fraction,2,0.8059237508481653,0.004782340665764995,81
Volume Fraction,3,0.7247134941663789,0.003023084779316482,81
Volume Fraction,4,0.6713941134061031,0.0022009828715563195,81
Volume Fraction,5,0.6556549442641119,0.0016696596073836464,81
Volume Fraction,6,0.6390938391139562,0.0013040599363427982,81
Volume Fraction,7,0.6368695410229875,0.0010608541799488045,81
Number,2,0.49033340460991687,84.61587441947574,81
Number,3,0.40302633565451146,67.57070179428013,81
Number,4,0.3955937569131599,58.607558210388795,81
Number,5,0.40530760651638437,49.754243185260805,81
Number,6,0.39958040241111076,45.384543237260104,81
Number,7,0.4036727724027524,41.224439587226925,81
