Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Equivalent Perimeter [mym],Perimeter [mym],Feret_max [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
1631.5,45.57730046,143.1853123,8291.804036,102.7494662,322.796968,518.981255,162.5726284,567985.6254,1.607763723,1.582223582
2141,52.2111661,164.0262158,10881.24575,117.7048529,369.780701,491.381446,159.8262652,853850.2865,1.328845569,1.357856209
12185,124.5569101,391.3070737,61928.0614,280.8010981,882.162667,1067.015644,289.5646701,11592978.43,1.209545228,1.03120918
4192,73.05764964,229.5173754,21305.08276,164.7011654,517.4239711,1129.873388,397.4993333,2339314.639,2.183651031,2.413457928
1037.5,36.34537148,114.182352,5272.906336,81.93700545,257.4126944,320.085923,87.25069103,288030.7701,1.243473729,1.064850864
1099,37.40708836,117.517834,5585.468977,84.33054,264.9322049,310.841744,88.20782032,314017.0766,1.173287876,1.045977179
5227.5,81.58345249,256.301975,26567.82445,183.9217353,577.8071724,1096.670761,314.9589024,3257600.251,1.897987449,1.712461564
3378,65.58203399,206.0320362,17168.0748,147.8481374,464.4786224,852.4608501,332.6344909,1692178.588,1.835306964,2.2498389
5573.5,84.24013653,264.6481941,28326.30695,189.9109638,596.6228887,722.518115,261.7284751,3586317.503,1.211013068,1.378164114
1874.5,48.85373606,153.4785383,9526.80764,110.1358626,346.0020167,476.987607,128.3622736,699495.4513,1.378568864,1.165490246
