# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Histogram_Bin,Histogram_Bin_Lower,Histogram_Bin_Upper,KMeans_Input_Volume,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,KMeans_Input_Number,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1272.0,40.24376599,126.4295196,6464.710226,90.72554604,285.0227089,391009.5768,0.7990469485779784,0.8570266940306949,0.00022114685332073864,0,90.72554604,103.69890780600818,0.00022114685332073864,0,0,0,4,0,0,0,0,0,0,2,4,5
1280.5,40.37800437160529,126.85124190045174,6507.909940480001,91.02817305534695,285.9734397403784,394935.4348604176,0.9318739687078404,0.9361167280072804,0.0002233672366774596,0,90.72554604,103.69890780600818,0.0002233672366774596,0,0,0,4,0,0,1,0,0,0,2,4,5
1293.0,40.57460698,127.4688872,6571.438932,91.47139397,287.3658593,400732.453,0.6984226628420874,0.8383339590713893,0.00022664590910974024,0,90.72554604,103.69890780600818,0.00022664590910974024,0,0,0,4,0,0,2,0,0,0,2,4,5
1335.0,41.22832512,129.5226033,6784.896346,92.94513615,291.9957569,420415.4097,0.9138034341063852,0.9370073891550031,0.00023777817848758163,0,90.72554604,103.69890780600818,0.00023777817848758163,0,0,0,4,0,0,3,0,0,0,2,4,5
1443.0,42.86355868,134.6598411,7333.786836,96.6316067,303.5771457,472450.4035,0.7587315045367887,0.783040737698294,0.00026720808461829545,0,90.72554604,103.69890780600818,0.00026720808461829545,0,0,0,4,0,0,4,0,0,0,2,4,5
1533.0,44.18004326,138.7956993,7791.195579,99.59948952,312.9010246,517332.7349,0.9138375249170482,0.96043572341019,0.00029259259422555114,0,90.72554604,103.69890780600818,0.00029259259422555114,0,0,0,4,0,0,5,0,0,0,2,4,5
1601.5,45.15631884,141.8627595,8139.334455,101.8004052,319.8154051,552391.697,0.75489479845348,0.7570912627576956,0.0003124212112444938,0,90.72554604,103.69890780600818,0.0003124212112444938,0,0,0,4,0,0,6,0,0,0,2,4,5
1609.5,45.26896339934508,142.21664285100772,8179.993009919998,102.05435108748354,320.6131996433118,556535.9190183579,0.9378594655100202,0.9431034041530224,0.00031476509669692385,0,90.72554604,103.69890780600818,0.00031476509669692385,0,0,0,4,0,0,7,0,0,0,2,4,5
1677.0,46.20847018,145.1681905,8523.049567,104.1723752,327.2671686,591910.8781,0.9404062464517592,0.9626764617482038,0.00033477243501144424,1,103.69890780600818,116.67226957201636,0.00033477243501144424,0,0,0,4,0,0,8,0,0,0,2,4,5
1835.0,48.33626552,151.8528567,9326.056026,108.969277,342.3370801,677502.3882,0.932454616573622,0.9302108855238708,0.0003831812061839902,1,103.69890780600818,116.67226957201636,0.0003831812061839902,0,0,0,4,0,0,9,0,0,0,2,4,5
1850.0,48.53342309955121,152.47224546311523,9402.290816,109.41374903562824,343.733430172047,685826.5918012108,0.9000883942635928,0.855036561390524,0.0003878892019519571,1,103.69890780600818,116.67226957201636,0.0003878892019519571,0,0,0,4,0,0,10,0,0,0,2,4,5
1883.0,48.96437545,153.8261222,9570.007355,110.385288,346.7856099,704258.6787,0.9331119079926204,0.8832293741005374,0.0003983140054853156,1,103.69890780600818,116.67226957201636,0.0003983140054853156,0,0,0,4,0,0,11,0,0,0,2,4,5
1900.0,49.18490759,154.5189444,9656.406784,110.8824557,348.3475082,713817.3982,0.938123424938262,0.9644099532268694,0.0004037202176719849,1,103.69890780600818,116.67226957201636,0.0004037202176719849,0,0,0,4,0,0,12,0,0,0,2,4,5
1928.5,49.55242135377202,155.67352289259617,9801.25288576,111.71097869994364,350.9503900090688,729938.3682359309,0.9390269312753614,0.9599685375005016,0.00041283790175814113,1,103.69890780600818,116.67226957201636,0.00041283790175814113,0,0,0,4,0,0,13,0,0,0,2,4,5
1986.0,50.28572099357861,157.9772516538926,10093.486248959998,113.36412940792364,356.14391612853547,762826.1875361326,0.8432735098678297,0.8523003558233664,0.0004314385657376344,1,103.69890780600818,116.67226957201636,0.0004314385657376344,0,0,0,4,0,0,14,0,0,0,2,4,5
2035.5,50.9085365465206,159.93388441955662,10345.061057279998,114.76820479047603,360.5549490354484,791522.723994593,0.9419969431753392,0.9982065989513844,0.00044766872764550605,1,103.69890780600818,116.67226957201636,0.00044766872764550605,0,0,0,4,0,0,15,0,0,0,2,4,5
2036.5,50.92104017842879,159.97316573770257,10350.14337664,114.79639297824986,360.6435048390767,792106.0842973301,0.9249499693258342,0.8908325202043663,0.0004479986640536072,1,103.69890780600818,116.67226957201636,0.0004479986640536072,0,0,0,4,0,0,16,0,0,0,2,4,5
2066.5,51.29473189,161.1471529,10502.61296,115.6388436,363.2901414,809673.3445,0.9109791726411908,0.8846549225658892,0.0004579343396630929,1,103.69890780600818,116.67226957201636,0.0004579343396630929,0,0,0,4,0,0,17,0,0,0,2,4,5
2128.5,52.05852832,163.5466901,10817.71676,117.3607462,368.6996582,846383.5409,0.9314614781582208,0.9107618416154902,0.00047869686032840853,2,116.67226957201636,129.64563133802454,0.00047869686032840853,0,0,0,4,0,0,18,0,0,0,2,4,5
2139.0,52.18677405,163.949586,10871.08111,117.6498634,369.6079466,852654.1387,0.9394871321331736,0.9710952979592864,0.00048224337952944393,2,116.67226957201636,129.64563133802454,0.00048224337952944393,0,0,0,4,0,0,19,0,0,0,2,4,5
2144.0,52.24773281,164.1410936,10896.49271,117.7872888,370.0396813,855645.556,0.8986557584547615,0.8155059924485335,0.0004839352627008952,2,116.67226957201636,129.64563133802454,0.0004839352627008952,0,0,0,4,0,0,20,0,0,0,2,4,5
